  line  collection                   function                                 ops
   132  summerCampsCurriculum        loadCurriculum                           get
   374  summerCampsCurriculum        saveCurriculum                           update,doc-ref
   384  summerCampsCurriculum        saveCurriculum                           add
   426  summerCamps_lessonData       checkForOrphanedLessonData               where,get
   499  summerCamps_lessonData       confirmLessonDataReassignments           
   537  summerCampsCurriculum        loadMaterialsHub                         get
   538  summerCampsMaterials         loadMaterialsHub                         get
   579  summerCampsCurriculum        loadProjectDetails                       get
   580  summerCampsProjectDetails    loadProjectDetails                       get
   581  summerCampsMaterials         loadProjectDetails                       get
   641  summerCampsMaterials         loadAdvancedPrep                         where,get
   644  summerCampsCurriculum        loadAdvancedPrep                         get
   694  summerCampsMaterials         loadWeeklyPrepIndex                      where,get
   733  summerCampsSchedule          loadWeeklyPrepIndex                      get
   826  summerCampsSchedule          loadWeeklyPrepMaterials                  where,get
  1215  summerCampsSchedule          loadOffSiteAllWeeks                      get
  1314  summerCampsCurriculum        loadExtraHelpIndex                       where,get
  1315  summerCampsProjectDetails    loadExtraHelpIndex                       where,get
  1732  summerCampsMaterials         updateWeeklyPrepField                    update,doc-ref
  2007  summerCampsCurriculum        parseCount                               update,doc-ref
  2045  summerCampsCurriculum        loadBinMap                               get
  2259  summerCampsMaterials         saveGeneralPrepItem                      add
  2282  summerCampsMaterials         deleteGeneralPrepItem                    delete,doc-ref
  2369  summerCampsMaterials         updatePrepField                          update,doc-ref
  2478  summerCampsMaterials         close                                    update,doc-ref
  2498  summerCampsMaterials         close                                    update,doc-ref
  2699  summerCampsProjects          loadLessonPlans                          get
  2700  summerCampsSchedule          loadLessonPlans                          get
  2701  summerCampsCampComplete      loadLessonPlans                          get
  2748  summerCampsMaterials         loadNeedToOrder                          get
  2856  summerCampsStockItems        loadStockItemsList                       get
  2992  summerCampsStockItems        addStockItem                             add
  3037  summerCampsStockItems        updateStockItemAliases                   update,doc-ref
  3056  summerCampsStockItems        deleteStockItem                          delete,doc-ref
  3164  summerCampsSchedule          calculateStockTotals                     get
  3181  summerCampsMaterials         calculateStockTotals                     get
  3486  summerCampsMaterials         loadAndRenderStockTotals                 get
  3666  summerCampsMaterials         loadStockSuggestions                     get
  3783  summerCampsHelpQueue         loadHelpQueue                            get
  3784  summerCampsMaterials         loadHelpQueue                            get
  3836  summerCampsSchedule          loadScheduleGrid                         get
  4037  summerCampsDaysOff           loadDaysOffForGrid                       get
  4193  summerCampsCurriculum        openSessionDetailModal                   where,get
  4329  summerCampsSchedule          saveSessionCapacity                      update,doc-ref
  4469  summerCampsDaysOff           loadDaysOff                              get
  4908  summerCampsDaysOff           saveDayOff                               update,doc-ref
  4912  summerCampsDaysOff           saveDayOff                               add
  4929  summerCampsDaysOff           deleteDayOff                             delete,doc-ref
  4945  summerCampsTeam              ensureTeamDataLoaded                     get
  4951  summerCampsSchedule          ensureScheduleLoaded                     get
  5043  summerCampsTeam              loadTeam                                 get
  5045  summerCampsDaysOff           loadTeam                                 get
  5182  summerCampsDaysOff           renderTeamGapGrid                        get
  5555  summerCampsTeam              saveTeamMember                           update,doc-ref
  5559  summerCampsTeam              saveTeamMember                           add
  5576  summerCampsTeam              deleteTeamMember                         delete,doc-ref
  5769  summerCampsSchedule          importTeachersFromSchedule               get
  5809  summerCampsTeam              importTeachersFromSchedule               set,batch,doc-ref
  5851  summerCampsNotesNextYear     loadNotesNextYear                        get
  5965  summerCampsNotesNextYear     handleAddNote                            add
  5984  summerCampsNotesNextYear     handleDeleteNote                         delete,doc-ref
  6031  summerCampsNotesNextYear     handleSaveEditedNote                     update,doc-ref
  6126  summerCampsKidNotes          loadKidNotes                             get
  6128  summerCampsCurriculum        loadKidNotes                             get
  6130  summerCampsSchedule          loadKidNotes                             get
  6352  summerCampsKidNotes          handleSaveCampNote                       update,doc-ref
  6381  summerCampsKidNotes          handleDeleteKidNote                      delete,doc-ref
  6542  summerCampsKidNotes          handleSaveKidNoteForm                    update,doc-ref
  6553  summerCampsKidNotes          handleSaveKidNoteForm                    add
  6708  summerCampsKidNotes          handleConfirmCSVImport                   update,doc-ref
  6713  summerCampsKidNotes          handleConfirmCSVImport                   add
  6738  summerCampsKidNotes          loadKidNotesBadges                       get
  6898  summerCampsSchedule          printKidNotesByTeacher                   get
  7055  summerCampsCurriculum        handleDataMigration                      where,get
  7065  summerCampsSchedule          handleDataMigration                      where,get,doc-ref
  7068  summerCampsSchedule          handleDataMigration                      set,batch,doc-ref
  7088  summerCampsSchedule          handleDataMigration                      where,get,doc-ref
  7091  summerCampsSchedule          handleDataMigration                      set,batch,doc-ref
  7111  summerCampsSchedule          handleDataMigration                      get,update,batch,doc-ref
  7117  summerCampsSchedule          handleDataMigration                      get,update,batch,doc-ref
  7125  summerCampsSchedule          handleDataMigration                      where,get,update,batch
  7135  summerCampsCurriculum        handleDataMigration                      where,get,update,batch
  7145  summerCampsSchedule          handleDataMigration                      where,get,update,batch
  7155  summerCampsCurriculum        handleDataMigration                      where,get,update,batch
  7165  summerCampsSchedule          handleDataMigration                      where,get,update,batch
  7175  summerCampsCurriculum        handleDataMigration                      where,get,update,batch
  7227  summerCampsSchedule          loadRearrangeData                        where,get
  7375  summerCampsSchedule          saveRearrangement                        update,batch,doc-ref
  7811  summerCampsCurriculum        autoSaveCurriculum                       update,doc-ref
  8432  summerCampsSchedule          saveSessions                             doc-ref
  8445  summerCampsProjects          saveTopics                               doc-ref
  8463  summerCampsCurriculum        importCurriculumData                     get
  8485  summerCampsMaterials         saveMaterials                            get
  8534  summerCampsProjectDetails    saveProjectDetails                       get
  8590  summerCampsOrders            saveOrders                               get
  8610  summerCampsHelpQueue         saveHelpQueue                            get
  9329  summerCampsCurriculum        openCampCompareModal                     where,get
  9330  summerCampsCurriculum        openCampCompareModal                     where,get
  9331  summerCampsMaterials         openCampCompareModal                     where,get
  9332  summerCampsMaterials         openCampCompareModal                     where,get
  9611  summerCampsMaterials         applyCampSync                            update,batch,doc-ref
  9617  summerCampsMaterials         applyCampSync                            set,batch,doc-ref
 10037  summerCampsMaterials         deleteOrphanedProjectMaterials           where,get
 10063  summerCampsMaterials         reassignOrphanedProjectMaterials         where,get
 10170  summerCampsMaterials         saveQuickAdd                             where
 10178  summerCampsMaterials         saveQuickAdd                             add
 10261  summerCampsSchedule          calculateTotalPrepQty                    where,get
 10277  summerCampsCurriculum        calculateTotalPrepQty                    where,get
 10310  summerCampsMaterials         refreshClassbookSummary                  where,get
 10314  summerCampsCurriculum        refreshClassbookSummary                  where,get
 10359  summerCampsCurriculum        openPublishModal                         where,get
 10360  summerCampsMaterials         openPublishModal                         where,get
 10548  summerCampsMaterials         publishCamp                              where,get
 10592  summerCampsSchedule          publishCamp                              where,get
 10638  summerCampsWeeklyPrep        publishCamp                              set,batch,doc-ref
 10643  summerCampsCurriculum        publishCamp                              where,get
 10837  summerCampsProjects          populateCampTopicsDropdown               get
 10881  summerCampsMaterials         saveMaterial                             doc.get,get,doc-ref
 10885  summerCampsMaterials         saveMaterial                             update,doc-ref
 10898  summerCampsMaterials         saveMaterial                             where
 10905  summerCampsMaterials         saveMaterial                             add
 10944  summerCampsMaterials         deleteMaterial                           doc.get,get,doc-ref
 10948  summerCampsMaterials         deleteMaterial                           delete,doc-ref
 11235  summerCampsMaterials         closeModal                               doc.get,get,doc-ref
 11242  summerCampsMaterials         closeModal                               update,doc-ref
 11260  summerCampsMaterials         markAsReceived                           update,doc-ref
 11383  summerCampsMaterials         updateHelpQueueView                      doc.get,get,doc-ref
 11628  summerCampsMaterials         closeModal                               where,get
 11685  summerCampsHelpQueue         closeModal                               update,doc-ref
 11703  summerCampsHelpQueue         closeModal                               update,doc-ref
 11831  summerCampsProjectDetails    toggleProjectDetailComplete              update,doc-ref
 11838  summerCampsProjectDetails    toggleProjectDetailComplete              add
 11868  summerCampsProjectDetails    toggleProjectDetailNeedsHelp             update,doc-ref
 11874  summerCampsProjectDetails    toggleProjectDetailNeedsHelp             add
 11904  summerCampsProjectDetails    publishCampToClassbook                   where,get
 11918  summerCampsCurriculum        publishCampToClassbook                   where,get,update
 12289  summerCampsProjectDetails    copyCampDetails                          where,get
 12438  summerCampsCurriculum        copyCurriculum                           doc.get,get,doc-ref
 12446  summerCampsCurriculum        copyCurriculum                           update,doc-ref
 12452  summerCampsCurriculum        copyCurriculum                           doc.get,get,doc-ref
 12582  summerCampsProjectDetails    editProjectDetail                        doc.get,get,doc-ref
 12734  summerCampsProjectDetails    dropZone.ondrop                          update,doc-ref
 12744  summerCampsProjectDetails    dropZone.ondrop                          add
 12817  summerCampsCurriculum        autoGenerateProjectDetails               get
 12818  summerCampsProjectDetails    autoGenerateProjectDetails               get
 12860  summerCampsProjectDetails    autoGenerateProjectDetails               set,batch,doc-ref
 13308  summerCampsSchedule          loadOpenStudio                           get
 13309  summerCampsCurriculum        loadOpenStudio                           get
 13347  summerCampsOpenStudio        loadOpenStudioWeek                       get,doc-ref
 13756  summerCampsOpenStudio        saveOffSiteOSInline                      update,doc-ref
 13811  summerCampsOpenStudio        seedCoalCreekToAllWeeks                  update,batch,doc-ref
 13913  summerCampsOpenStudio        saveOpenStudioGrid                       set,doc-ref
 14043  summerCampsOpenStudio        saveCampOverride                         set,doc-ref
 14068  summerCampsOpenStudio        deleteCampOverride                       set,doc-ref
 14152  summerCampsOpenStudio        saveOffSiteOS                            set,doc-ref
